time_s,mean_abs_H_squared_db,los,path_count
0.0,-86.9680384628862,0,72
0.002,-86.98093579573303,0,72
0.004,-86.97341608267541,0,72
0.006,-86.93943303411262,0,72
0.008,-86.93695598579737,0,71
0.01,-86.90852609056365,0,71
0.012,-86.90170033947507,0,70
0.014,-86.91877590223794,0,71
0.016,-86.91793547897643,0,71
0.018,-86.89563829403417,0,71
0.02,-87.05028963845969,0,70
0.022,-87.02456308820788,0,70
0.024,-87.01253287080627,0,70
0.026,-87.00613868432447,0,70
0.028,-86.99571139096454,0,70
0.03,-86.97513964831577,0,70
0.032,-86.94888667523558,0,69
0.034,-86.93060780824814,0,69
0.036,-86.93965850406772,0,68
0.038,-86.95094933960488,0,68
0.04,-86.96731916116448,0,68
0.042,-86.97708365424491,0,68
0.044,-86.9772446383081,0,68
0.046,-86.97564482465978,0,68
0.048,-86.98453306857482,0,68
0.05,-87.00934908541497,0,68
0.052,-88.27724402411947,0,67
0.054,-88.28862125849852,0,67
0.056,-88.28309427749943,0,67
0.058,-88.26630053877662,0,67
0.06,-88.25241441505645,0,67
0.062,-88.25089710981801,0,67
0.064,-87.05383792762946,0,69
0.066,-87.08695113135008,0,69
0.068,-87.10965150053192,0,69
0.07,-87.11999213502952,0,69
0.072,-87.12535930826981,0,69
0.074,-87.13332584470967,0,69
0.076,-87.14661850164903,0,69
0.078,-87.16110892944013,0,69
0.08,-87.16748358410118,0,69
0.082,-87.16073889573619,0,69
0.084,-87.14396333105371,0,70
0.086,-87.12545875998251,0,70
0.088,-87.11396270003634,0,70
0.09,-87.10822876464368,0,70
0.092,-87.08504244350614,0,69
0.094,-87.0666729164056,0,68
0.096,-87.03707203704076,0,68
0.098,-87.00562284440046,0,68
0.1,-86.98313973757791,0,68
0.102,-86.9689275092866,0,68
0.104,-86.95522887001451,0,68
0.106,-86.93353487451364,0,68
0.108,-86.90162535333577,0,68
0.11,-86.86682007044206,0,68
0.112,-86.83882315694729,0,68
0.114,-86.81972209173804,0,68
0.116,-87.92303495146406,0,67
0.118,-87.92508250153291,0,67
0.12,-87.91604678680127,0,67
0.122,-87.89884503043523,0,68
0.124,-87.88420797138649,0,68
0.126,-87.87847391184572,0,68
0.128,-86.58227644935805,0,73
0.13,-86.86966098963217,0,74
0.132,-86.89535189143686,0,74
0.134,-86.8936684344594,0,74
0.136,-86.87024893510296,0,74
0.138,-86.81426701077841,0,73
0.14,-86.76712392395528,0,73
0.142,-86.70902127173618,0,74
0.144,-86.6373316200617,0,73
0.146,-86.55719007993865,0,73
0.148,-86.47940829524674,0,73
0.15,-86.41689655247629,0,73
0.152,-86.37443809844383,0,73
0.154,-86.34834254358685,0,72
0.156,-86.33351825231355,0,72
0.158,-86.33108809773367,0,72
0.16,-86.34696278685212,0,72
0.162,-86.38798301340182,0,72
0.164,-86.44851488301512,0,71
0.166,-86.53666824309482,0,71
0.168,-86.6332411392031,0,71
0.17,-86.71431348283448,0,72
0.172,-87.77942320362806,0,71
0.174,-87.89048493141713,0,71
0.176,-87.82548254160282,0,71
0.178,-87.83979954388613,0,71
0.18,-87.84727793698076,0,71
0.182,-87.83954893589795,0,71
0.184,-87.82103543094118,0,70
0.186,-87.80432249364758,0,70
0.188,-87.80037834083936,0,70
0.19,-87.80782269901604,0,70
0.192,-86.98863929392601,0,74
0.194,-86.88213198568711,0,74
0.196,-86.75880615528696,0,74
0.198,-86.63942713798977,0,74
0.2,-86.54318006491371,0,74
0.202,-86.47619951292768,0,74
0.204,-86.4302331022005,0,74
0.206,-86.39385739612727,0,74
0.208,-86.36133702317807,0,75
0.21,-86.35051460010202,0,75
0.212,-86.37430247224331,0,75
0.214,-86.43650082369057,0,75
0.216,-86.52835702376011,0,75
0.218,-86.62786151239439,0,75
0.22,-86.73208964292348,0,74
0.222,-86.80841667475606,0,73
0.224,-86.89044554436234,0,73
0.226,-86.98210083886241,0,73
0.228,-87.07435277629172,0,73
0.23,-87.14774709457258,0,73
0.232,-87.18141999967236,0,73
0.234,-88.49623019324058,0,72
0.236,-88.46142874756326,0,72
0.238,-88.41435445627758,0,72
0.24,-88.17515209151183,0,71
0.242,-88.22437823946507,0,71
0.244,-88.25059839714154,0,71
0.246,-88.24469478978658,0,71
0.248,-88.22393391299408,0,71
0.25,-88.21741568328483,0,71
0.252,-88.23967571708452,0,71
0.254,-88.27540035795032,0,71
0.256,-86.55934306556027,0,77
0.258,-86.56289182825587,0,77
0.26,-86.57781454767587,0,77
0.262,-86.61190210561556,0,78
0.264,-86.6905253169861,0,79
0.266,-86.81984228483118,0,78
0.268,-86.95500285616484,0,78
0.27,-87.0739787470045,0,78
0.272,-87.1697687955068,0,78
0.274,-87.25554630390332,0,78
0.276,-87.34578158504655,0,79
0.278,-87.43017140809422,0,79
0.28,-87.5026148865996,0,78
0.282,-87.51320995536615,0,78
0.284,-87.47101817974239,0,78
0.286,-87.39687017981588,0,78
0.288,-87.3238439876229,0,77
0.29,-87.24782694187694,0,77
0.292,-87.16909106599815,0,77
0.294,-87.07669769773666,0,78
0.296,-86.96700014171783,0,78
0.298,-87.7482225564144,0,77
0.3,-87.65841095275479,0,77
0.302,-87.62380414181321,0,77
0.304,-88.17026708089236,0,76
0.306,-88.18688658585806,0,76
0.308,-88.17982733918902,0,76
0.31,-88.1604961370879,0,76
0.312,-88.15334581008611,0,76
0.314,-88.17271942051755,0,76
0.316,-88.20972540476777,0,76
0.318,-88.23668791716665,0,76
0.32,-87.21015292707051,0,82
0.322,-87.25175396575074,0,82
0.324,-87.27625355178695,0,82
0.326,-87.31685092153016,0,81
0.328,-87.30688655052525,0,81
0.33,-87.26198294273713,0,81
0.332,-87.17675827886696,0,81
0.334,-87.06727467099627,0,80
0.336,-86.97371454135546,0,79
0.338,-86.87562814717545,0,79
0.34,-86.78379715800156,0,79
0.342,-87.91318577359368,0,77
0.344,-87.7951737043547,0,77
0.346,-87.69772782634115,0,76
0.348,-87.61687137035027,0,76
0.35,-87.57875436357926,0,76
0.352,-87.57883107387039,0,76
0.354,-87.6001798133192,0,77
0.356,-87.63437581429854,0,77
0.358,-87.68084147880342,0,77
0.36,-87.75560032369509,0,77
0.362,-87.86676096786911,0,77
0.364,-88.03912840848713,0,78
0.366,-88.1735013259044,0,79
0.368,-88.28570025729124,0,79
0.37,-88.04650499634408,0,78
0.372,-88.04971587229994,0,78
0.374,-88.07646369794628,0,78
0.376,-88.11617394043395,0,78
0.378,-88.17310179722804,0,79
0.38,-88.16182932480629,0,80
0.382,-88.13894885566742,0,80
0.384,-87.5271393539685,0,84
0.386,-87.47867381425941,0,83
0.388,-88.02447656935965,0,83
0.39,-88.43006325856865,0,83
0.392,-87.95750332229305,0,84
0.394,-87.16867265133934,0,84
0.396,-87.65102098228225,0,83
0.398,-87.67934816419654,0,83
0.4,-87.75980036053191,0,83
0.402,-87.86308008817775,0,83
0.404,-87.96320258663431,0,83
0.406,-88.05124734831706,0,82
0.408,-88.17069739365444,0,82
0.41,-88.32520263785932,0,82
0.412,-88.50468963471303,0,82
0.414,-88.66665078042537,0,82
0.416,-88.7473167695089,0,81
0.418,-88.76708124568965,0,81
0.42,-88.75650767078456,0,79
0.422,-88.74086995728341,0,79
0.424,-88.4057288323198,0,78
0.426,-88.50756917912021,0,79
0.428,-88.5076199456226,0,79
0.43,-88.16916597342325,0,80
0.432,-88.41977178694565,0,79
0.434,-88.4295295910081,0,79
0.436,-88.48140770371813,0,79
0.438,-88.53954330848923,0,79
0.44,-88.56856498507494,0,80
0.442,-88.56026765425192,0,80
0.444,-88.51115987797206,0,81
0.446,-88.52613147167217,0,81
0.448,-87.61347016971045,0,85
0.45,-88.23077671334623,0,85
0.452,-88.74513377007416,0,85
0.454,-88.4321102387601,0,85
0.456,-88.2835608452457,0,84
0.458,-88.29859629255935,0,84
0.46,-88.3122924697887,0,85
0.462,-88.373162354193,0,86
0.464,-88.37666392227418,0,86
0.466,-88.35867269897682,0,86
0.468,-88.34608383856924,0,84
0.47,-88.35942253025033,0,84
0.472,-88.40784408498035,0,84
0.474,-88.47149648513665,0,84
0.476,-88.52131287786796,0,84
0.478,-88.5536235458494,0,84
0.48,-88.76647840940461,0,83
0.482,-88.82042481159898,0,83
0.484,-88.90041032975932,0,83
0.486,-89.14768432694927,0,84
0.488,-89.02193162520062,0,83
0.49,-89.0349902477312,0,83
0.492,-89.04325006658162,0,83
0.494,-88.91323981028059,0,84
0.496,-89.10792334079504,0,84
0.498,-89.13273679237386,0,84
0.5,-89.11800511185503,0,83
0.502,-89.03638734721945,0,82
0.504,-89.0686997752534,0,81
0.506,-89.08331787961417,0,81
0.508,-89.11403819812668,0,81
0.51,-89.13005703879143,0,81
0.512,-88.59576225751611,0,83
0.514,-88.72575885466611,0,84
0.516,-88.86218510566533,0,84
0.518,-88.9996481671316,0,84
0.52,-89.10662893249169,0,84
0.522,-89.13822656024509,0,84
0.524,-89.0502287917781,0,85
0.526,-88.94145328309547,0,85
0.528,-88.8392399905615,0,86
0.53,-88.72111444024657,0,85
0.532,-88.56398231844507,0,85
0.534,-88.37369167761501,0,85
0.536,-88.16183685060534,0,86
0.538,-87.9958955187648,0,86
0.54,-87.89501523772574,0,85
0.542,-87.8356884256104,0,84
0.544,-88.16773517035996,0,83
0.546,-88.2278694590014,0,82
0.548,-88.32372481603231,0,81
0.55,-88.39245450214253,0,81
0.552,-88.98386221940028,0,80
0.554,-88.99626490961504,0,81
0.556,-89.06980775636832,0,81
0.558,-89.07416064243944,0,82
0.56,-89.02137880210597,0,80
0.562,-88.95862712449782,0,80
0.564,-88.93636102001074,0,80
0.566,-88.95613682460989,0,81
0.568,-89.00834593415826,0,82
0.57,-89.02681601015915,0,82
0.572,-89.00634157059245,0,82
0.574,-89.00040768230328,0,80
0.576,-88.67290810180083,0,84
0.578,-88.53892528249389,0,84
0.58,-88.4075883706931,0,84
0.582,-88.26471303258471,0,84
0.584,-88.13361985782932,0,84
0.586,-88.05612671362822,0,84
0.588,-88.05979959742741,0,84
0.59,-88.13571062440138,0,84
0.592,-88.26267496400767,0,83
0.594,-88.53022849642086,0,82
0.596,-88.6684872474933,0,82
0.598,-88.86297141109199,0,81
0.6,-89.06287848013673,0,81
0.602,-89.27427382001655,0,81
0.604,-89.46766670060242,0,83
0.606,-89.53044853821962,0,83
0.608,-89.51078023121397,0,83
0.61,-89.45064121488085,0,83
0.612,-88.99401239077295,0,84
0.614,-89.03847005462296,0,84
0.616,-89.06627953306177,0,84
0.618,-89.04715851615646,0,85
0.62,-89.00960078141479,0,84
0.622,-89.05235323400264,0,83
0.624,-89.0934197333915,0,83
0.626,-89.14744751496906,0,83
0.628,-89.17296745669216,0,83
0.63,-89.16482259579466,0,83
0.632,-89.15607817920348,0,83
0.634,-89.18207520808164,0,83
0.636,-89.23927947560522,0,84
0.638,-89.30216264668921,0,82
0.64,-89.22705907480673,0,86
0.642,-89.44053925489065,0,87
0.644,-89.54792870142619,0,87
0.646,-89.6569375459049,0,88
0.648,-89.69538966464695,0,88
0.65,-89.65866662497554,0,88
0.652,-89.5227315760948,0,88
0.654,-89.2995985659361,0,88
0.656,-89.08954503289743,0,89
0.658,-88.90257865439995,0,94
0.66,-88.82018772483504,0,93
0.662,-88.69538449573717,0,93
0.664,-88.56553152843875,0,93
0.666,-88.45837135754005,0,91
0.668,-88.37414415295672,0,88
0.67,-88.39343601317853,0,88
0.672,-88.47537560551112,0,88
0.674,-89.33881825016994,0,87
0.676,-89.30679365534391,0,90
0.678,-89.21999585032806,0,90
0.68,-87.83792789594328,0,91
0.682,-87.91565617922947,0,93
0.684,-87.90911792552771,0,93
0.686,-87.86014499891758,0,94
0.688,-87.80957093503376,0,94
0.69,-87.78377141112806,0,94
0.692,-87.81052357687143,0,94
0.694,-87.86508152017397,0,96
0.696,-87.94016828990395,0,95
0.698,-87.96698963783325,0,95
0.7,-87.94551075110176,0,95
0.702,-87.95339989492146,0,95
0.704,-87.54816837980131,0,99
