sample_id,traj_id,scenario,cutoff_s,query_s,history_count,pattern,los_transition,query_los,ablation,query_band_ms,error,energy,nmse,amplitude_nmse,shape_correlation,gain_error_db,gain_abs_error_db,run
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,6.035781439095445e-07,4.002917788903382e-12,150784.53125,150061.984375,2.755800551312859e-06,51.783504486083984,51.783504486083984,cru_seed17
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,4.306011476273852e-07,4.135132340710168e-12,104132.375,103548.0546875,0.0001282958692172,50.17601013183594,50.17601013183594,cru_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.5,18,dropout,False,False,none,200-500,1.7246155437078414e-07,4.481705805081671e-12,38481.23046875,38147.6640625,0.0008621486485935,45.8515853881836,45.8515853881836,cru_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,1.296506013659382e-07,3.959257834779129e-12,32746.185546875,32432.595703125,0.0009921097662299,45.1529655456543,45.1529655456543,cru_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,1.294931593065485e-07,4.019860833093247e-12,32213.34375,31904.0390625,0.0010106706758961,45.08160400390625,45.08160400390625,cru_seed17
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,2.008285036936286e-06,4.002917788903382e-12,501705.25,500346.96875,0.0005950747290626,57.004207611083984,57.004207611083984,cru_seed29
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,1.047458681568969e-06,4.135132340710168e-12,253307.15625,252395.15625,0.0005703913047909,54.03682708740234,54.03682708740234,cru_seed29
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,3.471355057627079e-06,3.7824604559588686e-11,91775.046875,91207.4140625,4.861448906012811e-05,49.627044677734375,49.627044677734375,cru_seed29
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.5,18,dropout,False,False,none,200-500,2.931983829057572e-07,4.481705805081671e-12,65421.15625,64971.00390625,0.0002349427668377,48.15735626220703,48.15735626220703,cru_seed29
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,2.3375068280984126e-07,4.139908468120401e-12,56462.765625,56059.86328125,9.67949745245278e-05,47.517616271972656,47.517616271972656,cru_seed29
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,1.3434672609946574e-06,4.002917788903382e-12,335621.96875,334621.25,0.0013066933024674,55.25900268554688,55.25900268554688,cru_seed43
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,7.913433819339843e-07,4.135132340710168e-12,191370.75,190559.09375,0.0016153230099007,52.81803131103516,52.81803131103516,cru_seed43
