model,seed,batch_size,history_count,query_count,repeat,model_only_ms,end_to_end_ms,preprocess_ms,model_stage_ms,reconstruct_ms
cru,17,1,4,1,0,14.0900369733572,14.363587833940983,0.2608010545372963,14.05538059771061,0.11020619422197342
cru,17,1,4,1,1,14.033987186849117,14.391717500984669,0.2643223851919174,14.020171016454697,0.10846741497516632
cru,17,1,4,1,2,19.02999449521303,14.38600942492485,0.2664942294359207,14.001798816025257,0.10629557073116302
cru,17,1,4,1,3,13.88410571962595,14.326992444694042,0.2608383074402809,14.01178352534771,0.10679103434085846
cru,17,1,4,1,4,14.920256100594997,16.23649336397648,0.2624206244945526,13.979451730847359,0.10873284190893173
cru,17,1,4,1,5,13.969656080007553,14.277645386755466,0.2608858048915863,13.945046812295914,0.10741967707872391
cru,17,1,4,1,6,14.007693156599998,18.027523532509804,0.5435766652226448,18.646085634827614,0.4031118005514145
cru,17,1,4,1,7,16.1644471809268,14.71469085663557,0.2665715292096138,14.285902492702007,0.10881666094064713
cru,17,1,4,1,8,14.34576977044344,14.59469087421894,0.27932319790124893,14.357807114720345,0.10696612298488617
cru,17,1,4,1,9,14.242170378565788,14.597938396036625,0.26372727006673813,14.551600441336632,0.10560080409049988
cru,17,1,4,1,10,19.239801913499832,14.574573375284672,0.2618953585624695,14.324463903903961,0.10615307837724686
cru,17,1,4,1,11,14.344392344355583,29.173905961215496,0.38748327642679214,16.061117872595787,0.10788720101118088
cru,17,1,4,1,12,13.927607797086239,14.342470094561577,0.26220735162496567,13.926607556641102,0.10618194937705994
cru,17,1,4,1,13,13.879458419978619,18.065301701426506,0.26558060199022293,13.937780633568764,0.11921301484107971
cru,17,1,4,1,14,13.938585296273232,14.20041173696518,0.2622157335281372,13.952705077826977,0.108303502202034
cru,17,1,4,1,15,13.871531002223492,14.254597015678883,0.260818749666214,13.87693453580141,0.10825507342815399
cru,17,1,4,1,16,17.50129647552967,14.688899740576744,0.26284996420145035,13.978380709886551,0.10715052485466003
cru,17,1,4,1,17,13.855607248842716,14.314945787191391,0.2690376713871956,16.33391436189413,0.1072986051440239
cru,17,1,4,1,18,13.873420655727386,14.277365058660507,0.2593165263533592,13.944252394139767,0.10822247713804245
cru,17,1,4,1,19,13.975746929645538,14.203025959432125,0.25981105864048004,13.956169597804546,0.10705925524234772
cru,17,1,4,1,20,13.92786018550396,14.244689606130123,0.2601752057671547,13.927838765084743,0.11654291301965714
cru,17,1,4,1,21,13.996235094964504,15.00952523201704,0.26260968297719955,13.934317044913769,0.10624993592500687
cru,17,1,4,1,22,13.835580088198185,14.235968701541424,0.2589430660009384,13.928467407822609,0.10667834430932999
cru,17,1,4,1,23,13.949153944849968,14.203891158103943,0.2590203657746315,13.86902667582035,0.1061977818608284
cru,17,1,4,1,24,13.9493178576231,14.282570220530033,0.26152096688747406,13.958072289824486,0.10730978101491928
cru,17,1,4,1,25,13.93964421004057,14.124558307230473,0.2601202577352524,15.085420571267605,0.10757055133581161
cru,17,1,4,1,26,13.943411409854889,14.23401478677988,0.2628043293952942,13.978750444948673,0.1076897606253624
cru,17,1,4,1,27,13.93681950867176,14.2520722001791,0.2591097727417946,13.827132061123848,0.10633748024702072
cru,17,1,4,1,28,13.839093036949635,14.122206717729568,0.25897473096847534,13.86175025254488,0.10635238140821457
cru,17,1,4,1,29,13.828825205564499,14.31338582187891,0.3707464784383774,15.119276009500027,0.1066550612449646
cru,17,1,4,1,30,13.823023065924644,14.226897619664669,0.2612173557281494,13.835065998136997,0.10623224079608917
cru,17,1,4,1,31,13.872879557311535,14.186104759573936,0.26771053671836853,13.919168151915073,0.10636728256940842
cru,17,1,4,1,32,13.81361298263073,14.199533499777317,0.26044901460409164,13.880415819585323,0.10531116276979446
cru,17,1,4,1,33,13.850172981619835,14.093748293817043,0.25613047182559967,13.843966647982597,0.10603014379739761
cru,17,1,4,1,34,13.854441232979298,14.222951605916023,0.3590518608689308,17.674311995506287,0.10780990123748779
cru,17,1,4,1,35,13.870514929294586,14.13672138005495,0.26141107082366943,13.871601782739162,0.10479148477315903
cru,17,1,4,1,36,13.804404996335506,14.187175780534744,0.2552913501858711,13.876482844352722,0.10542292147874832
cru,17,1,4,1,37,13.737857341766357,14.063650742173195,0.2561267465353012,13.80218006670475,0.10576844215393066
cru,17,1,4,1,38,16.58022776246071,14.236943796277046,0.25736168026924133,13.866119086742401,0.10608695447444916
cru,17,1,4,1,39,13.857274316251278,14.196065254509449,0.25844573974609375,13.77237681299448,0.10603293776512146
cru,17,1,4,1,40,13.84743768721819,14.143482781946659,0.2590669319033623,13.79969622939825,0.10569766163825989
cru,17,1,4,1,41,13.926226645708084,14.314904808998108,0.2577146515250206,17.66068395227194,0.10566879063844681
cru,17,1,4,1,42,13.912724331021309,14.314488507807255,0.2593649551272392,13.94348032772541,0.10657962411642075
cru,17,1,4,1,43,13.979132287204266,14.291008934378624,0.25560613721609116,13.877425342798233,0.10500848293304443
cru,17,1,4,1,44,13.926176354289055,14.23903089016676,0.2585388720035553,13.92330415546894,0.10527390986680984
cru,17,1,4,1,45,14.582067728042603,14.979093335568905,0.2601621672511101,13.833309523761272,0.1062219962477684
cru,17,1,4,1,46,13.871818780899048,14.215056784451008,0.2577630802989006,13.87106254696846,0.10462477803230286
cru,17,1,4,1,47,13.975828886032104,14.288326725363731,0.2609929069876671,13.840926811099052,0.10574329644441605
cru,17,1,4,1,48,13.914374634623528,14.22286406159401,0.2582622691988945,16.93014893680811,0.10759755969047546
cru,17,1,4,1,49,13.856207020580769,14.149291440844536,0.2606818452477455,13.788215816020966,0.10479148477315903
cru,17,1,4,6,0,14.591138809919357,19.152858294546604,0.2591032534837723,14.66044969856739,0.11118315160274506
cru,17,1,4,6,1,14.622668735682964,14.960428699851036,0.2615535631775856,14.652705751359463,0.11113472282886505
cru,17,1,4,6,2,14.609482139348984,14.927004463970661,0.4130462184548378,18.427470698952675,0.11130422353744507
cru,17,1,4,6,3,14.616097323596478,14.89101443439722,0.2694288268685341,14.545472338795662,0.11242367327213287
cru,17,1,4,6,4,14.650029130280018,14.918530359864235,0.2573831006884575,14.600484631955624,0.11066533625125885
cru,17,1,4,6,5,14.566057361662388,18.44022423028946,0.26134680956602097,14.628339558839798,0.11141505092382431
cru,17,1,4,6,6,14.762137085199356,15.044372528791428,0.2614334225654602,14.649489894509315,0.11073332279920578
cru,17,1,4,6,7,14.700940810143948,15.018812380731106,0.25966670364141464,16.76071807742119,0.12550130486488342
cru,17,1,4,6,8,14.743538573384285,17.382731661200523,0.956621952354908,14.697427861392498,0.12346729636192322
cru,17,1,4,6,9,14.63345717638731,14.97271191328764,0.26084668934345245,14.674822799861431,0.11044181883335114
cru,17,1,4,6,10,14.605888165533543,15.048729255795479,0.25649089366197586,14.667614363133907,0.11011678725481033
cru,17,1,4,6,11,16.366458497941494,15.056081116199493,0.2844184637069702,14.631285332143307,0.11080782860517502
cru,17,1,4,6,12,16.543196514248848,14.986375346779823,0.2600839361548424,16.66854042559862,0.11122599244117737
cru,17,1,4,6,13,14.620978385210037,15.039226971566677,0.2591954544186592,14.680386520922184,0.10999850928783417
cru,17,1,4,6,14,14.634829014539719,14.959807507693768,0.2587568014860153,14.70579206943512,0.1110229641199112
cru,17,1,4,6,15,14.607075601816177,15.030689537525177,0.2569640055298805,16.794441267848015,0.340132974088192
cru,17,1,4,6,16,15.489659272134304,14.914214611053467,0.25868136435747147,14.580761082470417,0.11051725596189499
cru,17,1,4,6,17,14.547093771398067,14.897765591740608,0.25828834623098373,16.725730150938034,0.1139417290687561
cru,17,1,4,6,18,14.624168165028095,14.895984902977943,0.25779660791158676,14.53256607055664,0.11049024760723114
cru,17,1,4,6,19,14.56910278648138,17.267105169594288,0.2597542479634285,14.590850099921227,0.11009816080331802
cru,17,1,4,6,20,14.534524641931057,13.797949068248272,0.18918607383966446,10.525778867304325,0.07917266339063644
cru,17,1,4,6,21,10.917172767221928,11.079984717071056,0.187593512237072,10.688822716474533,0.08336082100868225
cru,17,1,4,6,22,11.116535402834415,10.937117040157318,0.18490012735128403,10.839750058948994,0.08571706712245941
cru,17,1,4,6,23,11.04102935642004,11.27435639500618,0.19630230963230133,15.315363183617592,0.0859331339597702
cru,17,1,4,6,24,11.441919952630997,10.975362733006477,0.18646754324436188,11.090642772614956,0.09028054773807526
cru,17,1,4,6,25,11.559981852769852,11.186362244188786,0.18702447414398193,10.92331949621439,0.08380506187677383
cru,17,1,4,6,26,11.06222067028284,11.08462456613779,0.1894710585474968,10.650044307112694,0.08370447903871536
cru,17,1,4,6,27,10.893668979406357,11.34506706148386,0.2015829086303711,10.774870403110981,0.08393265306949615
cru,17,1,4,6,28,11.322627775371075,11.434640735387802,0.20590890198946,10.917089879512787,0.08460693061351776
cru,17,1,4,6,29,11.381899006664753,10.953905060887337,0.19566714763641357,10.723128914833069,0.08344091475009918
cru,17,1,4,6,30,10.920300148427486,11.314216069877148,0.19800756126642227,10.850075632333755,0.0849338248372078
cru,17,1,4,6,31,11.238777078688145,14.545300044119358,0.20116381347179413,11.897176504135132,0.09035319089889526
cru,17,1,4,6,32,11.354967020452023,11.346697807312012,0.19651278853416443,11.162754148244858,0.08562486618757248
cru,17,1,4,6,33,11.812091805040836,11.739316396415234,0.20099151879549026,11.679514311254025,0.08610077202320099
cru,17,1,4,6,34,11.386621743440628,11.96594350039959,0.21170172840356827,11.892378330230713,0.09055808186531067
cru,17,1,4,6,35,11.749166063964367,11.988714337348938,0.21219439804553986,11.643604375422,0.08638482540845871
cru,17,1,4,6,36,11.356135830283165,11.399118229746819,0.2015829086303711,11.279665865004063,0.08967891335487366
cru,17,1,4,6,37,14.235376380383968,12.100144289433956,0.21189823746681213,11.815701611340046,0.08361786603927612
cru,17,1,4,6,38,10.85721980780363,11.112936772406101,0.19624736160039902,10.882670059800148,0.08284114301204681
cru,17,1,4,6,39,10.927088558673859,11.423156596720219,0.19874423742294312,11.616632342338562,0.08968356996774673
cru,17,1,4,6,40,11.372632347047329,11.318991892039776,0.20575802773237228,10.931625962257385,0.08041225373744965
cru,17,1,4,6,41,10.53721271455288,12.064721435308456,0.19515212625265121,14.502954669296741,0.09105540812015533
cru,17,1,4,6,42,11.835357174277306,11.534356512129307,0.22632349282503128,11.236668564379215,0.08367560803890228
cru,17,1,4,6,43,11.028315871953964,11.380087584257126,0.19517634063959122,11.02233026176691,0.08733663707971573
cru,17,1,4,6,44,11.142042465507984,11.441055685281754,0.22105034440755844,11.685761623084545,0.0821119174361229
cru,17,1,4,6,45,11.84833887964487,11.404764838516712,0.211409293115139,11.564110405743122,0.08323509246110916
cru,17,1,4,6,46,11.20022777467966,11.222009547054768,0.19477959722280502,13.986308127641678,0.09145401418209076
cru,17,1,4,6,47,11.416949331760406,10.738230310380459,0.19462034106254578,10.90296357870102,0.08367281407117844
cru,17,1,4,6,48,10.970002971589565,11.724753305315971,0.2048565074801445,10.87062805891037,0.08565746247768402
cru,17,1,4,6,49,11.318391188979149,10.952579788863659,0.18990132957696915,10.573191568255424,0.07970258593559265
cru,17,1,16,1,0,32.67034236341715,33.972485922276974,0.19859150052070618,38.39875012636185,0.08776318281888962
cru,17,1,16,1,1,33.54295715689659,33.95551908761263,0.1959269866347313,32.931783236563206,0.08114241063594818
cru,17,1,16,1,2,36.71442996710539,33.58142916113138,0.18826965242624283,32.6880132779479,0.09314902126789093
cru,17,1,16,1,3,34.58845801651478,37.76523098349571,0.22376887500286102,35.51152627915144,0.08993595838546753
cru,17,1,16,1,4,34.07380636781454,36.13194264471531,0.2254396677017212,35.69717798382044,0.08073169738054276
cru,17,1,16,1,5,38.94136659801006,34.01875216513872,0.20033307373523712,33.476244658231735,0.080084428191185
cru,17,1,16,1,6,33.59148930758238,33.78925286233425,0.19839778542518616,33.74306205660105,0.08013192564249039
cru,17,1,16,1,7,38.1496949121356,34.62279587984085,0.20110327750444412,32.727692276239395,0.08026883006095886
cru,17,1,16,1,8,35.00013239681721,33.18914584815502,0.19913911819458008,32.89952781051397,0.08012354373931885
cru,17,1,16,1,9,36.10907029360533,33.729114569723606,0.19964668899774551,32.80100505799055,0.08004624396562576
cru,17,1,16,1,10,33.31365995109081,33.07438362389803,0.20078010857105255,36.482226103544235,0.09428244084119797
cru,17,1,16,1,11,33.444724045693874,33.047414384782314,0.21339952945709229,34.169300459325314,0.08030980825424194
