model,group,routes,relative_nmse_reduction_pct,paired_difference,ci95_low,ci95_high
WM,all,16,85.18026795155875,-4.8222232416737825,-14.173615505720955,-0.021104522439418363
WM,near,8,12.245008068355357,-0.05741605535149574,-0.1168828058987856,0.004540585819631749
WM,far,8,88.33122105338714,-9.58703042799607,-27.96225854536751,0.003683709457982253
WM,normal,4,28.402400470728494,-0.06522650737315416,-0.07470878027379513,-0.0557442344725132
WM,maneuver,4,19.714294572099067,-0.02480238676071167,-0.06932401470839977,0.04814133606851101
WM,occlusion,8,86.13477555997748,-9.599432036280632,-27.97536497991532,-0.007505376823246494
WM,far_maneuver,2,-3.6880667796300504,0.0036197081208229065,-0.07619079202413559,0.0834302082657814
WM,far_normal,2,43.0090659715657,-0.0644762683659792,-0.07087821885943413,-0.05807431787252426
WM,far_occlusion,4,88.69784708449033,-19.14363257586956,-55.11804287135601,0.02940395474433899
WM,near_maneuver,2,34.68029779444641,-0.053224481642246246,-0.05772528052330017,-0.04872368276119232
WM,near_normal,2,21.32481228552069,-0.06597674638032913,-0.07853934168815613,-0.053414151072502136
WM,near_occlusion,4,7.819210428772649,-0.055231496691703796,-0.17403234541416168,0.06345418095588684
WM,los,16,10.495239791297273,-0.028385981684550643,-0.06180521341739222,0.018194279895396823
WM,nlos,8,89.22504419333855,-33.320627361536026,-98.20668057389557,0.029095998033881156
WM,switch_window,8,85.71503889205597,-14.900984968990088,-41.501788838393985,0.010209236294031143
WI,all,16,2.4421360067698683,-0.13825414376333356,-0.34689071131870153,-0.010089670901652427
WI,near,8,5.888295340425776,-0.02760983817279339,-0.06249203123152256,-0.0012356038670986922
WI,far,8,2.2932548420332766,-0.24889844935387373,-0.6163143571466208,0.0012293579755350945
WI,normal,4,1.2755542276634668,-0.0029293280094861984,-0.007401406764984131,0.001542750746011734
WI,maneuver,4,1.0331954000334709,-0.0012998543679714203,-0.005390645936131477,0.0022195428609848022
WI,occlusion,8,2.4621081080436924,-0.2743936963379383,-0.6386604845523834,-0.024644270539283752
WI,far_maneuver,2,-2.2614592166901426,0.0022195428609848022,0.001377500593662262,0.0030615851283073425
WI,far_normal,2,-1.0290959804974076,0.001542750746011734,0.001077398657798767,0.002008102834224701
WI,far_occlusion,4,2.3151492642049076,-0.4996780455112457,-1.108884572982788,-0.014829933643341064
WI,near_maneuver,2,3.1401542179633424,-0.004819251596927643,-0.007646694779396057,-0.0019918084144592285
WI,near_normal,2,2.392261191575329,-0.007401406764984131,-0.0096932053565979,-0.005109608173370361
WI,near_occlusion,4,6.952488027679649,-0.04910934716463089,-0.10168011486530304,0.0034614205360412598
WI,los,16,0.6195205391816172,-0.0016755880787968636,-0.004740364768076688,0.0013456905493512748
WI,nlos,8,2.446496400529752,-0.9136313199996948,-2.2009139195084573,-0.07411329448223114
WI,switch_window,8,3.3982830635799766,-0.5907687321305275,-1.196507770754397,-0.09594630952924493
WMI,all,16,86.91746496566954,-4.92056939646136,-14.213912804122083,-0.04642660462413922
WMI,near,8,24.55895094148053,-0.11515534156933427,-0.18779832607833669,-0.06234362376853827
WMI,far,8,89.6114809122032,-9.725983451353386,-28.23637376950355,0.007740787765942503
WMI,normal,4,27.989338596756276,-0.06427790503948927,-0.07332500629127026,-0.05523080378770828
WMI,maneuver,4,24.359657558204827,-0.030646678525954485,-0.07369075110182166,0.03564594406634569
WMI,occlusion,8,87.87771236302943,-9.793676501139998,-28.626939326524734,-0.06141629521735017
WMI,far_maneuver,2,3.491512259281282,-0.00342679675668478,-0.07631792686879635,0.06946433335542679
WMI,far_normal,2,42.917154579147734,-0.06433848105370998,-0.07016229256987572,-0.05851466953754425
WMI,far_occlusion,4,89.96945913365589,-19.418084263801575,-55.50601190328598,0.048615455627441406
WMI,near_maneuver,2,37.705008700089785,-0.05786656029522419,-0.0658092238008976,-0.04992389678955078
WMI,near_normal,2,20.756138519580926,-0.06421732902526855,-0.0764877200126648,-0.051946938037872314
WMI,near_occlusion,4,23.963643291500304,-0.16926873847842216,-0.28061602637171745,-0.07323133200407028
WMI,los,16,9.678145196243282,-0.02617602434474975,-0.058818812770186926,0.01903316760435695
WMI,nlos,8,90.80130351847914,-33.90927318483591,-99.41393810492009,-0.11647960972040991
WMI,switch_window,8,89.23682153706474,-15.51322327554226,-42.358758663013575,-0.328214373625816
