model,route,n,nmse,nmse_db,median_db,energy_weighted_db
W,far_maneuver_002,648,0.09205875545740128,-10.359349006307976,-10.736472115010667,-10.269682804521043
W,far_maneuver_007,648,0.1042342260479927,-9.819896539430845,-10.205874274927515,-9.863373449399933
W,far_normal_005,648,0.12452437728643417,-9.047456213823018,-9.809834431667749,-8.96815932009736
W,far_normal_012,648,0.17530202865600586,-7.56213058070431,-8.529752928205772,-7.435693677656899
W,far_occlusion_001,648,77.67415618896484,18.902765440066148,-3.6555721155815184,-0.027768712203628552
W,far_occlusion_010,648,1.9061250686645508,2.801513930750601,-0.30268524380301914,-0.028188169869019303
W,far_occlusion_029,636,5.957978248596191,7.750989133583985,-7.053947479718337,-0.5109669647340563
W,far_occlusion_033,648,0.7936333417892456,-1.003800950739952,-0.6726621048708303,-0.1243140305441098
W,near_maneuver_010,648,0.17944231629371643,-7.460751333891608,-7.594343998292988,-7.39169701806941
W,near_maneuver_014,648,0.12750130891799927,-8.94485356775544,-10.111950335677717,-8.738563525842073
W,near_normal_006,648,0.16100633144378662,-7.931570453530371,-9.807088465254896,-7.900140989497094
W,near_normal_013,648,0.457772821187973,-3.3934999575601936,-3.4223082017055657,-3.3489021627051856
W,near_occlusion_002,648,0.7438557744026184,-1.2851126129949544,-2.34626944519786,-2.3868457902674103
W,near_occlusion_008,648,0.6137502193450928,-2.1200833965863475,-9.83355426347927,-8.892783944351791
W,near_occlusion_021,648,0.253496378660202,-5.960282404297574,-9.468792150925694,-2.5469388374533883
W,near_occlusion_026,648,1.2143234014511108,0.8433436446684572,-1.5987652907426229,-1.148709355997419
WM,far_maneuver_002,648,0.015867963433265686,-17.994788090013426,-18.90992901448682,-17.911365567453828
WM,far_maneuver_007,648,0.1876644343137741,-7.266180259658785,-10.645434938196798,-7.38107235818679
WM,far_normal_005,648,0.053646158427000046,-12.704613721824657,-19.564617372720583,-12.446841808493689
WM,far_normal_012,648,0.1172277107834816,-9.30969715810731,-11.836424847947294,-9.093372683154065
WM,far_occlusion_001,648,4.20271110534668,6.235295375985995,-0.6491925698154067,-0.022493518921000627
WM,far_occlusion_010,648,2.0227692127227783,3.0594633489210494,-0.08532187069858926,-0.04337294980430481
WM,far_occlusion_029,636,2.7960851192474365,4.465503881955259,-10.193755054236007,-0.5424531104510143
WM,far_occlusion_033,648,0.735797107219696,-1.33241923926736,-0.7090484873022369,-0.19073015405924532
WM,near_maneuver_010,648,0.1307186335325241,-8.836625006860958,-9.653156143541072,-8.762059207845287
WM,near_maneuver_014,648,0.0697760283946991,-11.562937539385542,-16.24884429729185,-11.04819025559805
WM,near_normal_006,648,0.10759218037128448,-9.682192913555722,-16.400127143986705,-9.580774488644535
WM,near_normal_013,648,0.3792334794998169,-4.2109332924483684,-4.511348523608085,-4.142867143710768
WM,near_occlusion_002,648,0.7107988595962524,-1.4825327764705687,-2.7160492625804795,-2.643230451337337
WM,near_occlusion_008,648,0.3927260637283325,-4.059102753076977,-14.053365062921168,-10.885985214942535
WM,near_occlusion_021,648,0.1763206422328949,-7.536968409448336,-16.660944881606103,-3.267694031849417
WM,near_occlusion_026,648,1.324654221534729,1.221025278748312,-1.693573156671764,-1.3103879731243249
WI,far_maneuver_002,648,0.09343625605106354,-10.294845718684403,-10.792609562586279,-10.205194405395183
WI,far_maneuver_007,648,0.10729581117630005,-9.694172325403724,-10.153219824349303,-9.737411295870148
WI,far_normal_005,648,0.12653248012065887,-8.977979794165073,-9.720276018521837,-8.898951925873034
WI,far_normal_012,648,0.17637942731380463,-7.53552071841008,-8.586081544753789,-7.409575615103282
WI,far_occlusion_001,648,76.20559692382812,18.819868692906514,-3.61424611415514,-0.028701995582537373
WI,far_occlusion_010,648,1.8762645721435547,2.732940782437103,-0.3091454584653419,-0.035746387789759575
WI,far_occlusion_029,636,5.457485198974609,7.369925665502341,-7.116181453828952,-0.514898796585018
WI,far_occlusion_033,648,0.7938339710235596,-1.002703200012971,-0.6357784550199737,-0.12427087777443029
WI,near_maneuver_010,648,0.17179562151432037,-7.649879090519336,-7.852345152164803,-7.581596884633777
WI,near_maneuver_014,648,0.12550950050354004,-9.013233988036731,-10.232022306551617,-8.827418542200162
WI,near_normal_006,648,0.15589672327041626,-8.071630129736484,-10.06951055884273,-8.03611289551672
WI,near_normal_013,648,0.4480796158313751,-3.486448126888636,-3.549470538787456,-3.438921321713024
WI,near_occlusion_002,648,0.7409752011299133,-1.3019632669362569,-2.415610763861922,-2.438803012165078
WI,near_occlusion_008,648,0.48757001757621765,-3.119630085531525,-10.05014174467221,-9.056037344495635
WI,near_occlusion_021,648,0.2632997930049896,-5.795494823175024,-9.476747999001072,-2.457578502089959
WI,near_occlusion_026,648,1.1371433734893799,0.5581522492501556,-1.6529682288370962,-1.1982944002522413
WMI,far_maneuver_002,648,0.015740828588604927,-18.029724103513168,-18.988187390254968,-17.946117190293208
WMI,far_maneuver_007,648,0.1736985594034195,-7.6020378342820365,-11.448262677006493,-7.707283480349791
WMI,far_normal_005,648,0.054362084716558456,-12.647038969811668,-19.460318012451015,-12.394341861653352
WMI,far_normal_012,648,0.11678735911846161,-9.326041620369327,-11.795433695059092,-9.111148071062722
WMI,far_occlusion_001,648,3.6901347637176514,5.670422268826968,-0.5288173914581749,-0.022733173306194995
WMI,far_occlusion_010,648,2.0753393173217773,3.170891138639434,-0.08448376570911634,-0.05251581306970371
WMI,far_occlusion_029,636,2.172431707382202,3.369461328430324,-9.857065258622647,-0.5554827680432026
WMI,far_occlusion_033,648,0.7216500043869019,-1.4167338140168355,-0.6662563333860319,-0.1967552478334053
WMI,near_maneuver_010,648,0.12951841950416565,-8.876684638594352,-9.672891315618891,-8.80242442071386
WMI,near_maneuver_014,648,0.06169208511710167,-12.097705508850874,-16.405640788298925,-11.605054232323944
WMI,near_normal_006,648,0.1090593934059143,-9.62336922211244,-16.30592506361156,-9.522303794045628
WMI,near_normal_013,648,0.3812851011753082,-4.18750164576229,-4.441731093545174,-4.119614430085594
WMI,near_occlusion_002,648,0.6781560778617859,-1.6867034160005336,-2.611441693758467,-2.619043708156231
WMI,near_occlusion_008,648,0.2665165066719055,-5.74275887821197,-12.255179119022802,-9.723860539625113
WMI,near_occlusion_021,648,0.17273341119289398,-7.626236503116361,-17.141668433129976,-3.401400340113593
WMI,near_occlusion_026,648,1.03094482421875,0.13235422627305923,-1.6132325546681852,-1.2943963043900673
