model,group,n,nmse,nmse_db,median_db,energy_weighted_db
W,all,10356,5.660853862762451,7.528819435411794,-7.232110566048585,-0.3494150502455168
W amplitude,all,10356,5.184037208557129,7.146681100332638,-8.573180315930596,-0.4514400669091215
W phase aligned,all,10356,5.4737019538879395,7.382811461421007,-7.671569519999092,-0.40195061774528257
Hold,all,10356,29.817201063317043,14.74466873865226,-9.804484700105455,-0.3045425615352867
Hold amplitude,all,10356,28.431215286254883,14.537954239125346,-16.834594309708724,-0.8003284868550885
Hold phase aligned,all,10356,29.288944244384766,14.667037172909673,-11.114458308230795,-0.5413932592873127
W,near,5184,0.46889355778694153,-3.289257340702833,-6.639794308796332,-4.000538089941697
W amplitude,near,5184,0.2822199761867523,-5.494122491194774,-8.155744128006281,-5.129886118217662
W phase aligned,near,5184,0.36205625534057617,-4.412239446992937,-6.872337616856385,-4.408994691584112
Hold,near,5184,1.335693201770582,1.257067155653486,-7.275039286059854,-3.3918073408007943
Hold amplitude,near,5184,0.7756802439689636,-1.1031726959039627,-14.414345815100303,-8.232038602440921
Hold phase aligned,near,5184,0.9921364784240723,-0.03428582130532653,-8.150926607948502,-5.5445557645875265
W,far,5172,10.864860534667969,10.360241559291747,-7.941893282688291,-0.17464550533687145
W amplitude,far,5172,10.097228050231934,10.042021650978716,-8.9794085064294,-0.24937740620386878
W phase aligned,far,5172,10.597208023071289,10.251914596147966,-8.33717928517668,-0.21696587451129887
Hold,far,5172,58.36479130969308,17.661509369902255,-13.070930391565721,-0.14782933238555854
Hold amplitude,far,5172,56.150909423828125,17.49356794516477,-18.461277189236675,-0.5506620742663764
Hold phase aligned,far,5172,57.651405334472656,17.60809898301452,-14.424894351543756,-0.33199299319271375
W,normal,2592,0.22965136170387268,-6.389309751155348,-7.986345169744733,-6.3009293953878345
W amplitude,normal,2592,0.16262567043304443,-7.888109000243833,-8.79236429202588,-7.82982079019521
W phase aligned,normal,2592,0.22406189143657684,-6.496320022162698,-8.020319569879614,-6.413141726983173
Hold,normal,2592,0.2281661142766002,-6.417488536751384,-11.111364031711332,-6.327857653321002
