route,category,split,zero_path_frames,los_fraction,gain_db_min,gain_db_max,camera_center_in_frustum_fraction,camera_center_in_frustum_and_rt_los_fraction
near_normal_000,near_normal,train,0,1.0,-67.8311455353666,-63.58835965126657,1.0,1.0
near_normal_001,near_normal,train,0,1.0,-69.84057446108329,-62.759117254159726,0.31683168316831684,0.31683168316831684
near_normal_002,near_normal,train,0,1.0,-72.12063470324436,-64.53812037372037,0.8613861386138614,0.8613861386138614
near_normal_003,near_normal,train,0,1.0,-71.56417025906475,-61.66673907595653,1.0,1.0
near_normal_004,near_normal,train,0,1.0,-72.56089168658096,-69.75080059431991,0.0,0.0
near_normal_005,near_normal,train,0,1.0,-67.75634102123077,-62.18265050850889,0.7326732673267327,0.7326732673267327
near_normal_006,near_normal,test,0,1.0,-70.53231235736997,-66.83628591451408,1.0,1.0
near_normal_007,near_normal,train,0,1.0,-71.50526223980758,-69.41153777102012,1.0,1.0
near_normal_008,near_normal,train,0,1.0,-70.75484601363263,-65.62564170387074,1.0,1.0
near_normal_009,near_normal,train,0,1.0,-71.44454760235719,-69.48052288738563,0.0,0.0
near_normal_010,near_normal,val,0,1.0,-74.95299064031242,-67.44636744517236,1.0,1.0
near_normal_011,near_normal,train,0,1.0,-72.1365135110722,-65.8796751286495,1.0,1.0
near_normal_012,near_normal,val,0,1.0,-72.74893253767165,-70.02428390688023,0.36633663366336633,0.36633663366336633
near_normal_013,near_normal,test,0,1.0,-71.75202760385622,-68.95004713074502,1.0,1.0
near_normal_014,near_normal,train,0,1.0,-71.65260728442783,-70.04628720806622,1.0,1.0
near_normal_015,near_normal,train,0,1.0,-71.1320146454109,-68.4718684294738,1.0,1.0
near_normal_016,near_normal,train,0,1.0,-72.64478614558557,-66.24576063176782,0.6039603960396039,0.6039603960396039
near_normal_017,near_normal,train,0,1.0,-72.03033003645359,-68.79937977370331,0.6138613861386139,0.6138613861386139
near_normal_018,near_normal,train,0,1.0,-70.66649708750009,-65.81551719395569,0.49504950495049505,0.49504950495049505
near_normal_019,near_normal,train,0,1.0,-72.51426294719711,-71.60376859190379,0.0,0.0
near_maneuver_000,near_maneuver,train,0,1.0,-72.5968578119507,-67.80933482326928,1.0,1.0
near_maneuver_001,near_maneuver,train,0,1.0,-72.10512638889738,-70.8031035652527,1.0,1.0
near_maneuver_002,near_maneuver,train,0,1.0,-69.26718324412063,-63.42118738473778,0.9207920792079208,0.9207920792079208
near_maneuver_003,near_maneuver,train,0,1.0,-71.96856883850627,-62.3723274856145,0.06930693069306931,0.06930693069306931
near_maneuver_004,near_maneuver,train,0,1.0,-73.49173972604406,-67.18178022828403,0.8316831683168316,0.8316831683168316
near_maneuver_005,near_maneuver,train,0,1.0,-72.4279112255624,-70.38568052805294,0.0,0.0
near_maneuver_006,near_maneuver,train,0,1.0,-71.08773351375889,-68.46947805599791,0.0,0.0
near_maneuver_007,near_maneuver,val,0,1.0,-72.11791614442885,-67.132309772358,1.0,1.0
near_maneuver_008,near_maneuver,train,0,1.0,-72.13918919933364,-67.8062754395191,1.0,1.0
near_maneuver_009,near_maneuver,train,0,1.0,-72.17781996977126,-66.49652328362858,1.0,1.0
near_maneuver_010,near_maneuver,test,0,1.0,-72.05769424257845,-69.44473070194161,1.0,1.0
near_maneuver_011,near_maneuver,train,0,1.0,-69.85811250820086,-65.39000241561277,1.0,1.0
near_maneuver_012,near_maneuver,train,0,1.0,-70.65475499188628,-67.57202051887197,1.0,1.0
near_maneuver_013,near_maneuver,train,0,1.0,-71.11925663185036,-66.99393985641139,1.0,1.0
near_maneuver_014,near_maneuver,test,0,1.0,-71.43385563420026,-66.91215142722278,0.45544554455445546,0.45544554455445546
near_maneuver_015,near_maneuver,train,0,1.0,-72.45645923920895,-69.03663791585447,0.40594059405940597,0.40594059405940597
near_maneuver_016,near_maneuver,train,0,1.0,-72.59450312454246,-66.28998216188164,0.0,0.0
near_maneuver_017,near_maneuver,val,0,1.0,-70.65167472726522,-64.27906833022882,0.5742574257425742,0.5742574257425742
near_maneuver_018,near_maneuver,train,0,1.0,-69.86535432352724,-63.53516420638822,0.504950495049505,0.504950495049505
near_maneuver_019,near_maneuver,train,0,1.0,-72.62331762208771,-68.23074086256948,0.6732673267326733,0.6732673267326733
near_occlusion_000,near_occlusion,train,0,0.6693322670931627,-89.52455687514001,-66.8263155986109,1.0,0.6732673267326733
near_occlusion_001,near_occlusion,train,0,0.7968812475009996,-101.91876563671924,-70.8687487685201,1.0,0.7920792079207921
near_occlusion_002,near_occlusion,test,0,0.62375049980008,-97.37037002335542,-67.03423103486523,1.0,0.6237623762376238
near_occlusion_003,near_occlusion,train,0,0.7441023590563774,-101.58015697141083,-70.74550515432063,1.0,0.7425742574257426
near_occlusion_004,near_occlusion,train,0,0.6433426629348261,-95.55374202775829,-67.1802026529736,1.0,0.6435643564356436
near_occlusion_005,near_occlusion,train,0,0.7848860455817673,-93.18639909685295,-70.83328779427735,1.0,0.7821782178217822
near_occlusion_006,near_occlusion,train,0,0.6025589764094362,-104.88327229875424,-66.64664099783118,0.6435643564356436,0.49504950495049505
