model,case,zero_targets,history_normalized_error,hold_history_normalized_error
W,all_dense,12,0.0007559612859040499,0.058730586450081314
W,all_sparse,12,0.004494891967624426,0.5624864106362453
W,csi_32,12,0.0007559612859040499,0.058730586450081314
W,csi_4,12,0.004494891967624426,0.5624864106362453
W,csi_8,12,0.0024666248355060816,0.09717470004069105
W,default,12,0.0010932127479463816,0.06666674910563825
W,mismatched_motion,12,0.0010932127479463816,0.06666674910563825
W,mismatched_rgb,12,0.0010932127479463816,0.06666674910563825
W,motion_16,12,0.0010932127479463816,0.06666674910563825
W,motion_2,12,0.0010932127479463816,0.06666674910563825
W,offgrid_queries,15,0.0008934486540965736,0.06857265062487708
W,pattern_bursty,12,0.004080716986209154,0.1034975801863155
W,pattern_gap,12,0.0005366747500374913,0.04114384524205272
W,pattern_recent,12,0.01225636899471283,0.42268921426537925
W,pattern_uniform,12,0.00037601790972985327,0.02850800500217845
W,rgb_10,12,0.0010932127479463816,0.06666674910563825
W,rgb_2,12,0.0010932127479463816,0.06666674910563825
W,wrong_uniform_clocks,12,0.0011652508983388543,0.06666674910563825
WM,all_dense,12,0.00037063483614474535,0.058730586450081314
WM,all_sparse,12,0.0030084920581430197,0.5624864106362453
WM,csi_32,12,0.00037196523044258356,0.058730586450081314
WM,csi_4,12,0.0030300039798021317,0.5624864106362453
WM,csi_8,12,0.0006597844767384231,0.09717470004069105
WM,default,12,0.00040694884955883026,0.06666674910563825
WM,mismatched_motion,12,0.00040206662379205227,0.06666674910563825
WM,mismatched_rgb,12,0.00040694884955883026,0.06666674910563825
WM,motion_16,12,0.0004006429808214307,0.06666674910563825
WM,motion_2,12,0.00042273514554835856,0.06666674910563825
WM,offgrid_queries,15,0.0003429318021517247,0.06857265062487708
WM,pattern_bursty,12,0.0009065912454389036,0.1034975801863155
WM,pattern_gap,12,0.00025613830075599253,0.04114384524205272
WM,pattern_recent,12,0.0025136724580079317,0.42268921426537925
WM,pattern_uniform,12,0.00017694663256406784,0.02850800500217845
WM,rgb_10,12,0.00040694884955883026,0.06666674910563825
WM,rgb_2,12,0.00040694884955883026,0.06666674910563825
WM,wrong_uniform_clocks,12,0.0004062088846694678,0.06666674910563825
WI,all_dense,12,0.0008675322751514614,0.058730586450081314
WI,all_sparse,12,0.004366170149296522,0.5624864106362453
WI,csi_32,12,0.000865536683704704,0.058730586450081314
WI,csi_4,12,0.004406485240906477,0.5624864106362453
WI,csi_8,12,0.0024199853651225567,0.09717470004069105
WI,default,12,0.0011796638136729598,0.06666674910563825
WI,mismatched_motion,12,0.0011796638136729598,0.06666674910563825
WI,mismatched_rgb,12,0.0011836736230179667,0.06666674910563825
WI,motion_16,12,0.0011796638136729598,0.06666674910563825
WI,motion_2,12,0.0011796638136729598,0.06666674910563825
WI,offgrid_queries,15,0.0010362894972786307,0.06857265062487708
WI,pattern_bursty,12,0.004253204446285963,0.1034975801863155
WI,pattern_gap,12,0.0006046360358595848,0.04114384524205272
WI,pattern_recent,12,0.012362721376121044,0.42268921426537925
WI,pattern_uniform,12,0.0004120216181036085,0.02850800500217845
WI,rgb_10,12,0.0011839825892820954,0.06666674910563825
WI,rgb_2,12,0.0011790924472734332,0.06666674910563825
WI,wrong_uniform_clocks,12,0.0012743464903905988,0.06666674910563825
WMI,all_dense,12,6.009716889820993e-05,0.058730586450081314
WMI,all_sparse,12,0.002720803255215287,0.5624864106362453
WMI,csi_32,12,5.6874690926633775e-05,0.058730586450081314
WMI,csi_4,12,0.002710693748667836,0.5624864106362453
WMI,csi_8,12,0.00017477133951615542,0.09717470004069105
WMI,default,12,8.995390817290172e-05,0.06666674910563825
WMI,mismatched_motion,12,0.00010218454553978518,0.06666674910563825
WMI,mismatched_rgb,12,8.99838050827384e-05,0.06666674910563825
WMI,motion_16,12,9.45919964578934e-05,0.06666674910563825
WMI,motion_2,12,8.942748536355793e-05,0.06666674910563825
WMI,offgrid_queries,15,8.566484757466242e-05,0.06857265062487708
WMI,pattern_bursty,12,0.00018558157898951322,0.1034975801863155
WMI,pattern_gap,12,4.7146459110081196e-05,0.04114384524205272
WMI,pattern_recent,12,0.0009631002321839333,0.42268921426537925
WMI,pattern_uniform,12,6.0641043091891333e-05,0.02850800500217845
WMI,rgb_10,12,9.129780664807186e-05,0.06666674910563825
WMI,rgb_2,12,9.568941459292546e-05,0.06666674910563825
WMI,wrong_uniform_clocks,12,8.139418787322938e-05,0.06666674910563825
