control,model,nmse_db,switch_nmse_db,stable_nmse_db
normal,pretrained,-1.71503096430725,2.0743148120499844,-2.232746731491034
normal,W,-1.863098347020629,1.7778739793725364,-2.349204107690725
normal,WM,-1.8863012082468282,1.7269735030116578,-2.3666496618968007
normal,WI,-1.839553403394323,2.0925700750628957,-2.388953863569249
normal,WMI,-1.8938882683817349,1.5431370183889672,-2.3386189707217637
remove_rgb,pretrained,-1.71503096430725,2.0743148120499844,-2.232746731491034
remove_rgb,W,-1.863098347020629,1.7778739793725364,-2.349204107690725
remove_rgb,WM,-1.8863012082468282,1.7269735030116578,-2.3666496618968007
remove_rgb,WI,-1.770344053110616,2.413194533812998,-2.378746025978549
remove_rgb,WMI,-1.90353520176507,1.490763298804139,-2.3398893848356797
shuffle_rgb,pretrained,-1.71503096430725,2.0743148120499844,-2.232746731491034
shuffle_rgb,W,-1.863098347020629,1.7778739793725364,-2.349204107690725
shuffle_rgb,WM,-1.8863012082468282,1.7269735030116578,-2.3666496618968007
shuffle_rgb,WI,-1.6568226556595824,2.998059108449833,-2.388018886433127
shuffle_rgb,WMI,-1.8055665389967475,2.0423631968420204,-2.336129278923658
flat_rgb,pretrained,-1.71503096430725,2.0743148120499844,-2.232746731491034
flat_rgb,W,-1.863098347020629,1.7778739793725364,-2.349204107690725
flat_rgb,WM,-1.8863012082468282,1.7269735030116578,-2.3666496618968007
flat_rgb,WI,-1.7648014046200617,2.3895246751878614,-2.3661289620732737
flat_rgb,WMI,-1.828964844238027,1.8265628571220507,-2.318113959693423
