family,case,model,nmse_db,windows,targets
highspeed,main,hold,-9.607573509321485,384,2304
highspeed,main,pretrained,-12.362983937992562,384,2304
highspeed,main,W,-12.362983937992562,384,2304
highspeed,main,WM,-12.362983937992562,384,2304
highspeed,main,WI,-12.362983937992562,384,2304
highspeed,main,WMI,-12.362983937992562,384,2304
highspeed,main,WMI_recency,-12.362983937992562,384,2304
highspeed,flat_aux,hold,-9.607573509321485,384,2304
highspeed,flat_aux,pretrained,-12.362983937992562,384,2304
highspeed,flat_aux,W,-12.362983937992562,384,2304
highspeed,flat_aux,WM,-12.362983937992562,384,2304
highspeed,flat_aux,WI,-12.362983937992562,384,2304
highspeed,flat_aux,WMI,-12.362983937992562,384,2304
highspeed,flat_aux,WMI_recency,-12.362983937992562,384,2304
highspeed,no_aux,hold,-9.607573509321485,384,2304
highspeed,no_aux,pretrained,-12.362983937992562,384,2304
highspeed,no_aux,W,-12.362983937992562,384,2304
highspeed,no_aux,WM,-12.362983937992562,384,2304
highspeed,no_aux,WI,-12.362983937992562,384,2304
highspeed,no_aux,WMI,-12.362983937992562,384,2304
highspeed,no_aux,WMI_recency,-12.362983937992562,384,2304
highspeed,zero_aux_times,hold,-9.607573509321485,384,2304
highspeed,zero_aux_times,pretrained,-12.362983937992562,384,2304
highspeed,zero_aux_times,W,-12.362983937992562,384,2304
highspeed,zero_aux_times,WM,-12.362983937992562,384,2304
highspeed,zero_aux_times,WI,-12.362983937992562,384,2304
highspeed,zero_aux_times,WMI,-12.362983937992562,384,2304
highspeed,zero_aux_times,WMI_recency,-12.362983937992562,384,2304
highspeed,offgrid,hold,-7.3432863817268865,72,285
highspeed,offgrid,pretrained,-10.596548803629894,72,285
highspeed,offgrid,W,-10.596548803629894,72,285
highspeed,offgrid,WM,-10.596548803629894,72,285
highspeed,offgrid,WI,-10.596548803629894,72,285
highspeed,offgrid,WMI,-10.596548803629894,72,285
highspeed,offgrid,WMI_recency,-10.596548803629894,72,285
occlusion,main,hold,1.2545483750643858,384,2304
occlusion,main,pretrained,-1.71503096430725,384,2304
occlusion,main,W,-1.71503096430725,384,2304
occlusion,main,WM,-1.806320625860021,384,2304
occlusion,main,WI,-1.71503096430725,384,2304
occlusion,main,WMI,-1.8038185298062714,384,2304
occlusion,main,WMI_recency,-1.912232732880148,384,2304
occlusion,flat_aux,hold,1.2545483750643858,384,2304
occlusion,flat_aux,pretrained,-1.71503096430725,384,2304
occlusion,flat_aux,W,-1.71503096430725,384,2304
occlusion,flat_aux,WM,-1.8063820974117393,384,2304
occlusion,flat_aux,WI,-1.71503096430725,384,2304
occlusion,flat_aux,WMI,-1.8041311413803225,384,2304
occlusion,flat_aux,WMI_recency,-1.9125188879987824,384,2304
occlusion,no_aux,hold,1.2545483750643858,384,2304
occlusion,no_aux,pretrained,-1.71503096430725,384,2304
occlusion,no_aux,W,-1.71503096430725,384,2304
occlusion,no_aux,WM,-1.6728138421298668,384,2304
occlusion,no_aux,WI,-1.71503096430725,384,2304
occlusion,no_aux,WMI,-1.6848324784225002,384,2304
occlusion,no_aux,WMI_recency,-1.545145727178908,384,2304
occlusion,zero_aux_times,hold,1.2545483750643858,384,2304
occlusion,zero_aux_times,pretrained,-1.71503096430725,384,2304
occlusion,zero_aux_times,W,-1.71503096430725,384,2304
occlusion,zero_aux_times,WM,-1.8061234467230955,384,2304
occlusion,zero_aux_times,WI,-1.71503096430725,384,2304
occlusion,zero_aux_times,WMI,-1.8039748080651494,384,2304
occlusion,zero_aux_times,WMI_recency,-1.9160785960931048,384,2304
occlusion,offgrid,hold,3.118110029677031,216,852
occlusion,offgrid,pretrained,-0.5175779641910125,216,852
occlusion,offgrid,W,-0.5175779641910125,216,852
occlusion,offgrid,WM,-0.6176364622819284,216,852
occlusion,offgrid,WI,-0.5175779641910125,216,852
occlusion,offgrid,WMI,-0.6309600018667807,216,852
occlusion,offgrid,WMI_recency,-0.7708080626751437,216,852
