family,model,old_nmse_db,new_nmse_db,delta_db
cruise,cru,-5.3776338999642395,-13.446750364252011,-8.069116464287772
cruise,latent_ode,-4.303891130720935,-13.224625120994059,-8.920733990273124
cruise,neural_flow,-1.6103377369257377,-13.395395781874145,-11.785058044948407
cruise,tpatchgnn,-0.12234705839482027,-16.92996858501808,-16.80762152662326
highspeed,cru,-2.5880987428258195,-8.922986482603147,-6.3348877397773276
highspeed,latent_ode,-2.132236951421091,-8.855272570422276,-6.723035619001185
highspeed,neural_flow,-0.11221066032101289,-8.906672752577075,-8.794462092256062
highspeed,tpatchgnn,-0.09524198329526803,-11.03666815963588,-10.941426176340611
sweep_turn,cru,-0.4894187300484845,-10.56531482964515,-10.075896099596665
sweep_turn,latent_ode,-1.0167783164026398,-10.7051960437305,-9.68841772732786
sweep_turn,neural_flow,-0.09205107048962322,-10.681271828933737,-10.589220758444114
sweep_turn,tpatchgnn,0.16732285580850662,-12.63628615881995,-12.803609014628456
uturn,cru,-0.6181436721663961,-9.519490229481221,-8.901346557314826
uturn,latent_ode,-1.4600931983208794,-9.610911359664522,-8.150818161343643
uturn,neural_flow,-0.4755362266693066,-9.537625990205886,-9.062089763536578
uturn,tpatchgnn,0.11061329777881054,-10.68367805539804,-10.79429135317685
climb_descent,cru,-1.638612609083061,-11.816394840706002,-10.17778223162294
climb_descent,latent_ode,-2.2132634364798065,-12.408556815316103,-10.195293378836297
climb_descent,neural_flow,-1.2450300764407338,-12.964667775551371,-11.719637699110637
climb_descent,tpatchgnn,-0.08952033056836922,-14.642286777702981,-14.552766447134612
