family,model,bin,n,nmse_db,gain_mae_db,shape_correlation,fraction_of_total_nmse
cruise,cru,middle,3600,-13.446750364252011,0.3223615487213758,0.9568636004047262,1.0
cruise,latent_ode,middle,3600,-13.224625120994059,0.1715977552275197,0.9543406170441044,1.0
cruise,neural_flow,middle,3600,-13.395395781874145,0.24457778975327074,0.9556031890130705,1.0
cruise,tpatchgnn,middle,3600,-16.92996858501808,0.20650658010877412,0.9812758617020315,1.0
cruise,time_rwkv_csi,middle,3600,-13.156912687495987,0.22797547257662523,0.9538501379638911,1.0
cruise,ct_transformer_csi,middle,3600,-16.41918029315833,0.2691513339804684,0.9790682805246776,1.0
highspeed,cru,middle,3600,-8.922986482603147,0.8645913617621974,0.8805527892550958,1.0
highspeed,latent_ode,middle,3600,-8.855272570422276,0.677573261087211,0.8839327760156448,1.0
highspeed,neural_flow,middle,3600,-8.906672752577075,0.6734978402984658,0.8836634782877455,1.0
highspeed,tpatchgnn,middle,3600,-11.03666815963588,0.5110907804482248,0.92815936303801,1.0
highspeed,time_rwkv_csi,middle,3600,-9.071157560805702,0.40340349668288683,0.8951485071172162,1.0
highspeed,ct_transformer_csi,middle,3600,-10.353324849530212,0.6023179795154768,0.916773972585668,1.0
sweep_turn,cru,middle,3600,-10.56531482964515,0.3580500196946094,0.9214577347691709,1.0
sweep_turn,latent_ode,middle,3600,-10.7051960437305,0.30157345149957715,0.9280154899566292,1.0
sweep_turn,neural_flow,middle,3600,-10.681271828933737,0.3500116874661247,0.9257411044167545,1.0
sweep_turn,tpatchgnn,middle,3600,-12.63628615881995,0.4066847393826659,0.9521065546652244,1.0
sweep_turn,time_rwkv_csi,middle,3600,-11.135484899218238,0.3502712032158292,0.9298879411635602,1.0
sweep_turn,ct_transformer_csi,middle,3600,-12.962097073988357,0.3727687765216352,0.9563533710999763,1.0
uturn,cru,middle,3600,-9.519490229481221,0.5339485957473996,0.9004170854826872,1.0
uturn,latent_ode,middle,3600,-9.610911359664522,0.41483519511440037,0.9031170193416377,1.0
uturn,neural_flow,middle,3600,-9.537625990205886,0.4171008248142799,0.9012162414107782,1.0
uturn,tpatchgnn,middle,3600,-10.68367805539804,0.6423977725047573,0.9298359100768964,1.0
uturn,time_rwkv_csi,middle,3600,-9.636341469471386,0.5957485336735165,0.9031295386577646,1.0
uturn,ct_transformer_csi,middle,3600,-10.802554857869975,0.6124272397562769,0.9321053887282809,1.0
climb_descent,cru,middle,3600,-11.816394840706002,0.5363355907330778,0.9391829657140706,1.0
climb_descent,latent_ode,middle,3600,-12.408556815316103,0.2764645625541319,0.9469917986293633,1.0
climb_descent,neural_flow,middle,3600,-12.964667775551371,0.254616771731944,0.953163211685088,1.0
climb_descent,tpatchgnn,middle,3600,-14.642286777702981,0.3009746082627498,0.9689472294433249,1.0
climb_descent,time_rwkv_csi,middle,3600,-11.815934147304077,0.48592320478997963,0.9392019847200976,1.0
climb_descent,ct_transformer_csi,middle,3600,-13.95866165245592,0.36310919669680114,0.9638555501732561,1.0
occlusion,cru,middle,3577,-2.618348225972495,3.9461589783314173,0.703999963621672,0.9885843797729159
occlusion,cru,rise_10db,23,-0.07557950219319604,24.585646670797598,0.576143639891044,0.0114156202270841
occlusion,ct_transformer_csi,middle,3577,-2.8378122567280357,4.275551898468639,0.7140655687910632,0.9866255636825672
occlusion,ct_transformer_csi,rise_10db,23,0.40133001710032223,24.17339051288107,0.6230105122794276,0.013374436317432827
occlusion,latent_ode,middle,3577,-2.474887150656388,3.661104056861164,0.6891232801679139,0.988389507791762
occlusion,latent_ode,rise_10db,23,0.14224893894906446,23.7394614426986,0.4389162523186077,0.011610492208237918
occlusion,neural_flow,middle,3577,-2.320724230655025,3.2152980760122514,0.6911226279037468,0.9883632971816168
occlusion,neural_flow,rise_10db,23,0.3063201485707111,23.692567369212274,0.3653748170675143,0.011636702818383228
occlusion,time_rwkv_csi,middle,3577,-2.2284114259636407,3.658415747160369,0.661701661886758,0.9883606389306437
occlusion,time_rwkv_csi,rise_10db,23,0.399636608890166,22.432244259378184,0.49478629879329517,0.011639361069356228
occlusion,tpatchgnn,middle,3577,-3.135513061100052,4.288790410875713,0.7173876525398548,0.9873334460684569
occlusion,tpatchgnn,rise_10db,23,-0.13565574434835806,25.48942408354386,0.7060465527617413,0.012666553931543135
