family,model,batch,observations,queries,pca_features,parameters,network_gpu_ms_median,full_csi_gpu_ms_median,full_csi_wall_ms_median,full_csi_wall_ms_p95
cruise,cru,1,16,1,256,101002,35.078224182128906,35.148799896240234,35.16693785786629,35.59122625738382
cruise,cru,1,16,6,256,101002,33.129024505615234,33.20473670959473,33.22291653603315,35.13423567637801
cruise,latent_ode,1,16,1,256,239394,38.160383224487305,38.23967933654785,38.25894184410572,40.23930002003908
cruise,latent_ode,1,16,6,256,239394,39.070112228393555,39.14950370788574,39.16781349107623,41.56155162490904
cruise,neural_flow,1,16,1,256,285826,21.019055366516113,21.08971118927002,21.106576081365347,23.96405041217804
cruise,neural_flow,1,16,6,256,285826,21.641216278076172,21.71963119506836,21.73840533941984,24.89173854701221
cruise,tpatchgnn,1,16,1,256,163794,3.549264073371887,3.617919921875,3.641583491116762,3.8774142507463694
cruise,tpatchgnn,1,16,6,256,163794,3.7469600439071655,3.824720025062561,3.843830432742834,3.983452543616295
cruise,time_rwkv_csi,1,16,1,256,113282,23.748607635498047,23.812095642089844,23.829350247979164,24.9575590249151
cruise,time_rwkv_csi,1,16,6,256,113282,23.962544441223145,24.031760215759277,24.049795232713223,24.903263244777918
cruise,ct_transformer_csi,1,16,1,256,7572,5.007359981536865,5.071487903594971,5.089398939162493,5.440132133662701
cruise,ct_transformer_csi,1,16,6,256,7572,4.924383878707886,4.997040033340454,5.014986265450716,5.501543544232844
highspeed,cru,1,16,1,256,101002,33.339664459228516,33.42001533508301,33.439488150179386,35.02993118017912
highspeed,cru,1,16,6,256,101002,34.35673522949219,34.44172668457031,34.4601022079587,38.17310626618564
highspeed,latent_ode,1,16,1,256,239394,37.877296447753906,37.9453125,37.96218940988183,40.877531142905354
highspeed,latent_ode,1,16,6,256,239394,38.94713592529297,39.01982498168945,39.036686066538095,40.8772693015635
highspeed,neural_flow,1,16,1,256,285826,22.154064178466797,22.22111988067627,22.238526958972216,22.91765371337533
highspeed,neural_flow,1,16,6,256,285826,21.588047981262207,21.668800354003906,21.687110420316458,22.620038967579603
highspeed,tpatchgnn,1,16,1,256,163794,3.803584098815918,3.8726720809936523,3.892009612172842,3.9575013797730207
highspeed,tpatchgnn,1,16,6,256,163794,3.75654399394989,3.838528037071228,3.8567157462239265,4.01793378405273
highspeed,time_rwkv_csi,1,16,1,256,113282,25.54265594482422,25.62622356414795,25.64884489402175,27.10705026984214
highspeed,time_rwkv_csi,1,16,6,256,113282,24.625167846679688,24.706704139709473,24.726571049541235,25.465591764077544
highspeed,ct_transformer_csi,1,16,1,256,7572,5.2848639488220215,5.353407859802246,5.37213496863842,5.431973282247782
highspeed,ct_transformer_csi,1,16,6,256,7572,5.068160057067871,5.14188814163208,5.159705877304077,5.346876848489046
sweep_turn,cru,1,16,1,256,101002,34.902496337890625,34.99003219604492,35.01570224761963,36.19412244297564
sweep_turn,cru,1,16,6,256,101002,34.37735939025879,34.46113586425781,34.479720052331686,35.905038099735975
sweep_turn,latent_ode,1,16,1,256,239394,38.34220886230469,38.4105281829834,38.42929191887379,40.444597229361534
sweep_turn,latent_ode,1,16,6,256,239394,38.89271926879883,38.9653434753418,38.98306144401431,40.556281385943294
sweep_turn,neural_flow,1,16,1,256,285826,21.733887672424316,21.80352020263672,21.82187046855688,22.538658929988742
sweep_turn,neural_flow,1,16,6,256,285826,21.73452854156494,21.81174373626709,21.829127334058285,23.422157997265455
sweep_turn,tpatchgnn,1,16,1,256,163794,3.6710879802703857,3.7388960123062134,3.7579406052827835,4.095258843153714
sweep_turn,tpatchgnn,1,16,6,256,163794,3.756592035293579,3.836927890777588,3.8564871065318584,3.9846823550760746
sweep_turn,time_rwkv_csi,1,16,1,256,113282,24.30412769317627,24.370688438415527,24.387904908508062,25.577672151848674
sweep_turn,time_rwkv_csi,1,16,6,256,113282,24.64524745941162,24.731696128845215,24.761302396655083,25.50037303008139
sweep_turn,ct_transformer_csi,1,16,1,256,7572,5.2232959270477295,5.292608022689819,5.311754532158375,5.356857506558299
sweep_turn,ct_transformer_csi,1,16,6,256,7572,5.213343858718872,5.291055917739868,5.309926811605692,5.364367179572582
uturn,cru,1,16,1,256,101002,34.61923027038574,34.69500732421875,34.71454605460167,35.63114181160927
uturn,cru,1,16,6,256,101002,35.636735916137695,35.73358345031738,35.75709415599704,37.67284546047449
uturn,latent_ode,1,16,1,256,239394,40.95542335510254,41.04903984069824,41.072705294936895,42.91909635066986
uturn,latent_ode,1,16,6,256,239394,41.27284812927246,41.35935974121094,41.37853253632784,42.9432166274637
uturn,neural_flow,1,16,1,256,285826,22.609024047851562,22.687840461730957,22.706910967826843,23.223370034247637
uturn,neural_flow,1,16,6,256,285826,22.58078384399414,22.666704177856445,22.685717791318893,23.012715252116323
uturn,tpatchgnn,1,16,1,256,163794,3.7867679595947266,3.856752038002014,3.875032067298889,3.9762961212545633
uturn,tpatchgnn,1,16,6,256,163794,3.861504077911377,3.9418879747390747,3.961303271353245,4.006642941385508
uturn,time_rwkv_csi,1,16,1,256,113282,24.4323673248291,24.50430393218994,24.525245185941458,25.16716099344194
uturn,time_rwkv_csi,1,16,6,256,113282,25.063536643981934,25.15012836456299,25.179720018059015,25.52522737532854
uturn,ct_transformer_csi,1,16,1,256,7572,5.288016080856323,5.3600640296936035,5.382407922297716,5.443418910726905
uturn,ct_transformer_csi,1,16,6,256,7572,5.271967887878418,5.350303888320923,5.369832739233971,5.410300334915519
climb_descent,cru,1,16,1,256,101002,35.24772644042969,35.331743240356445,35.35608807578683,37.03469401225448
climb_descent,cru,1,16,6,256,101002,35.25009536743164,35.34225654602051,35.36613332107663,36.02845510467887
climb_descent,latent_ode,1,16,1,256,239394,40.4587516784668,40.54220771789551,40.5627409927547,41.55479562468827
