family,model,seed,best_epoch,val_nmse_db,elapsed_s,peak_memory_gb,parameters
cruise,cru,17,5,-10.678292979728404,311.61519980523735,0.7027592658996582,101002
cruise,latent_ode,17,2,-10.467596653109315,183.88053863868117,0.07646512985229492,239394
cruise,neural_flow,17,3,-10.469765254794002,172.32320476323366,0.06404829025268555,285826
cruise,tpatchgnn,17,46,-13.559879288013693,932.7464718157426,5.187105655670166,163794
cruise,time_rwkv_csi,17,15,-10.80975070271732,302.4849983351305,0.0701751708984375,113282
cruise,ct_transformer_csi,17,43,-12.889569797910818,831.3291891813278,1.0017504692077637,7572
highspeed,cru,17,3,-10.033886627909856,344.40433166362345,0.7027592658996582,101002
highspeed,latent_ode,17,2,-10.124762386435311,176.79699400812387,0.07646512985229492,239394
highspeed,neural_flow,17,2,-10.133421094163808,247.36666855495423,0.06404829025268555,285826
highspeed,tpatchgnn,17,49,-11.983122037975892,949.8495170185342,5.187105655670166,163794
highspeed,time_rwkv_csi,17,55,-10.16648214862647,622.2991167539731,0.0701751708984375,113282
highspeed,ct_transformer_csi,17,32,-11.497088687004375,636.2414942877367,1.0017504692077637,7572
sweep_turn,cru,17,8,-7.956783633417567,212.31231929082423,0.7027592658996582,101002
sweep_turn,latent_ode,17,36,-8.457139914123223,578.34942020569,0.07646512985229492,239394
sweep_turn,neural_flow,17,24,-8.33717445379044,344.1746282149106,0.06404829025268555,285826
sweep_turn,tpatchgnn,17,45,-8.467804408787302,870.8236789703369,5.187105655670166,163794
sweep_turn,time_rwkv_csi,17,50,-8.264330150323278,636.162339235656,0.0701751708984375,113282
sweep_turn,ct_transformer_csi,17,33,-8.25611279326656,648.2557137683034,1.0017504692077637,7572
uturn,cru,17,3,-11.79971237353593,350.3501221658662,0.7027592658996582,101002
uturn,latent_ode,17,1,-11.709234944441349,165.63419206626713,0.07646512985229492,239394
uturn,neural_flow,17,1,-11.684484902360083,170.15483652800322,0.06404829025268555,285826
uturn,tpatchgnn,17,38,-13.087011001062475,769.6228162236512,5.187105655670166,163794
uturn,time_rwkv_csi,17,11,-11.68733079797584,254.19144666567445,0.0701751708984375,113282
uturn,ct_transformer_csi,17,36,-13.25968145665794,687.9246269799769,1.0017504692077637,7572
climb_descent,cru,17,2,-9.161516124207004,323.82311814744025,0.7027592658996582,101002
climb_descent,latent_ode,17,25,-9.79564896114301,459.9352872753516,0.07646512985229492,239394
climb_descent,neural_flow,17,33,-9.722015364842052,512.0926520982757,0.06404829025268555,285826
climb_descent,tpatchgnn,17,56,-11.528237300026651,926.9354847688228,5.187105655670166,163794
climb_descent,time_rwkv_csi,17,6,-9.261210432319979,201.82680572476238,0.0701751708984375,113282
climb_descent,ct_transformer_csi,17,34,-10.914637993511082,677.7748089516535,1.0017504692077637,7572
occlusion,cru,17,8,12.543786046523442,454.74173433333635,0.7313656806945801,323210
occlusion,latent_ode,17,11,10.988020341491785,286.40089930407703,0.10911703109741211,543522
occlusion,neural_flow,17,48,9.819495697304228,688.3882005736232,0.08931493759155273,622722
occlusion,tpatchgnn,17,4,9.76041307680028,490.09110551699996,5.187152862548828,169426
occlusion,time_rwkv_csi,17,45,8.819146212077214,623.4105338277295,0.08880090713500977,146818
occlusion,ct_transformer_csi,17,2,16.390732110220732,361.8128761174157,1.0017542839050293,8084
