group,model,case,nmse_db,delta_from_default_db
near_los,WM,default,-8.459191005709059,0.0
near_los,WM,mismatched_motion,-8.459223895430428,-3.288972136950008e-05
near_los,WM,mismatched_rgb,-8.459191005709059,0.0
near_los,WI,default,-8.468917830336135,0.0
near_los,WI,mismatched_motion,-8.468917830336135,0.0
near_los,WI,mismatched_rgb,-8.4684584797936,0.00045935054253476437
near_los,WMI,default,-8.454349173793059,0.0
near_los,WMI,mismatched_motion,-8.444771494429936,0.009577679363122371
near_los,WMI,mismatched_rgb,-8.454217486889533,0.00013168690352571844
far_los,WM,default,-13.796635884978965,0.0
far_los,WM,mismatched_motion,-13.8047773084169,-0.008141423437935558
far_los,WM,mismatched_rgb,-13.796635884978965,0.0
far_los,WI,default,-13.930477845824349,0.0
far_los,WI,mismatched_motion,-13.930477845824349,0.0
far_los,WI,mismatched_rgb,-13.930638054593867,-0.00016020876951827745
far_los,WMI,default,-13.827898137903942,0.0
far_los,WMI,mismatched_motion,-13.826779896729729,0.0011182411742129972
far_los,WMI,mismatched_rgb,-13.8279322730392,-3.413513525885037e-05
near_occlusion,WM,default,-1.7868646012947997,0.0
near_occlusion,WM,mismatched_motion,-1.2578767200594332,0.5289878812353666
near_occlusion,WM,mismatched_rgb,-1.7868646012947997,0.0
near_occlusion,WI,default,-1.2972173979640433,0.0
near_occlusion,WI,mismatched_motion,-1.2972173979640433,0.0
near_occlusion,WI,mismatched_rgb,-1.2920744306216545,0.005142967342388838
near_occlusion,WMI,default,-1.786168841180864,0.0
near_occlusion,WMI,mismatched_motion,-1.2569968814549939,0.5291719597258702
near_occlusion,WMI,mismatched_rgb,-1.7813267227508032,0.004842118430060882
