group,model,best_epoch,best_val_nmse_db,elapsed_s
near_los,W,46,-14.20606499891663,736.5610368233174
near_los,WM,50,-14.31015793950116,743.4771259389818
near_los,WI,46,-14.242270663215704,1136.3316587787122
near_los,WMI,50,-14.297411054972207,1139.7531422786415
far_los,W,48,-10.403529943841551,725.346128931269
far_los,WM,44,-10.285533520083533,729.701508982107
far_los,WI,44,-10.396348690047777,1075.4149651322514
far_los,WMI,44,-10.31318279621981,1082.1447757389396
near_occlusion,W,37,-1.8118802071831366,704.8020789083093
near_occlusion,WM,42,-2.055274755594932,739.5946867857128
near_occlusion,WI,37,-1.8248636259036846,1038.587452268228
near_occlusion,WMI,42,-2.0641839095389214,1093.3964170198888
