route,time_s,mean_abs_H_squared_db,los
site_00_route_00,0.0,-69.84562818317025,0
site_00_route_00,0.002,-69.8444901742911,0
site_00_route_00,0.004,-69.84320559616842,0
site_00_route_00,0.006,-69.84213405649689,0
site_00_route_00,0.008,-69.8412051501555,0
site_00_route_00,0.01,-69.8404103236225,0
site_00_route_00,0.012,-69.83950307000129,0
site_00_route_00,0.014,-69.83771512945678,0
site_00_route_00,0.016,-69.83651519589779,0
site_00_route_00,0.018,-69.83545520913101,0
site_00_route_00,0.02,-69.8346180766537,0
site_00_route_00,0.022,-69.8330680797885,0
site_00_route_00,0.024,-69.83340446220181,0
site_00_route_00,0.026,-69.83298278916523,0
site_00_route_00,0.028,-69.83237704862177,0
site_00_route_00,0.03,-69.84257714826889,0
site_00_route_00,0.032,-69.84212120792215,0
site_00_route_00,0.034,-69.84131821801762,0
site_00_route_00,0.036,-69.8403587758469,0
site_00_route_00,0.038,-69.83978126608196,0
site_00_route_00,0.04,-69.83919994073533,0
site_00_route_00,0.042,-69.83877736790193,0
site_00_route_00,0.044,-69.83823897348094,0
site_00_route_00,0.046,-69.83801868435691,0
site_00_route_00,0.048,-69.83902185780289,0
site_00_route_00,0.05,-69.8388060427208,0
site_00_route_00,0.052,-69.83832484896598,0
site_00_route_00,0.054,-69.83769996446418,0
site_00_route_00,0.056,-69.8369082427267,0
site_00_route_00,0.058,-69.83518711161155,0
site_00_route_00,0.06,-69.83225050343871,0
site_00_route_00,0.062,-69.83081663615982,0
site_00_route_00,0.064,-69.83033491463445,0
site_00_route_00,0.066,-69.82958863017316,0
site_00_route_00,0.068,-69.82874366639001,0
site_00_route_00,0.07,-69.82797289459916,0
site_00_route_00,0.072,-69.82937767972824,0
site_00_route_00,0.074,-69.82851990352182,0
site_00_route_00,0.076,-69.82695830981444,0
site_00_route_00,0.078,-69.82633756074071,0
site_00_route_00,0.08,-69.82491611275564,0
site_00_route_00,0.082,-69.8234579247807,0
site_00_route_00,0.084,-69.82248294118797,0
site_00_route_00,0.086,-69.8209729238093,0
site_00_route_00,0.088,-69.81945981201625,0
site_00_route_00,0.09,-69.81775974182406,0
site_00_route_00,0.092,-69.81546181411078,0
site_00_route_00,0.094,-69.81388985565808,0
site_00_route_00,0.096,-69.8121676129293,0
site_00_route_00,0.098,-69.81053557793616,0
site_00_route_00,0.1,-69.80899674340476,0
site_00_route_00,0.102,-69.80745156358948,0
site_00_route_00,0.104,-69.80577927443525,0
site_00_route_00,0.106,-69.80360514457793,0
site_00_route_00,0.108,-69.80251234363617,0
site_00_route_00,0.11,-69.80145823085701,0
site_00_route_00,0.112,-69.80028563093006,0
site_00_route_00,0.114,-69.79921828651341,0
site_00_route_00,0.116,-69.7981301116395,0
site_00_route_00,0.118,-69.79694735725263,0
site_00_route_00,0.12,-69.79490006384503,0
site_00_route_00,0.122,-69.79319146748122,0
site_00_route_00,0.124,-69.79291232727203,0
site_00_route_00,0.126,-69.79241943008931,0
site_00_route_00,0.128,-69.79238874756663,0
site_00_route_00,0.13,-69.79181504641494,0
site_00_route_00,0.132,-69.79120919672258,0
site_00_route_00,0.134,-69.79063655066417,0
site_00_route_00,0.136,-69.79048980213642,0
site_00_route_00,0.138,-69.7896264430791,0
site_00_route_00,0.14,-69.78961301000086,0
site_00_route_00,0.142,-69.78936489998854,0
site_00_route_00,0.144,-69.7890260408742,0
site_00_route_00,0.146,-69.78877343217681,0
site_00_route_00,0.148,-69.78848137905868,0
site_00_route_00,0.15,-69.78831241307451,0
site_00_route_00,0.152,-69.78814428470669,0
site_00_route_00,0.154,-69.78722746609368,0
site_00_route_00,0.156,-69.78684444075947,0
site_00_route_00,0.158,-69.78616207108296,0
site_00_route_00,0.16,-69.78551630637091,0
site_00_route_00,0.162,-69.78485857059508,0
site_00_route_00,0.164,-69.78244481400394,0
site_00_route_00,0.166,-69.7809445216632,0
site_00_route_00,0.168,-69.78305948293135,0
site_00_route_00,0.17,-69.77917060337748,0
site_00_route_00,0.172,-69.77579617717973,0
site_00_route_00,0.174,-69.77220534800443,0
site_00_route_00,0.176,-69.76969091074515,0
site_00_route_00,0.178,-69.76541300902596,0
site_00_route_00,0.18,-69.76162104706637,0
site_00_route_00,0.182,-69.7569801171715,0
site_00_route_00,0.184,-69.75346937839572,0
site_00_route_00,0.186,-69.74942856142304,0
site_00_route_00,0.188,-71.66211990286348,0
site_00_route_00,0.19,-69.74174259990116,0
site_00_route_00,0.192,-69.7357816209644,0
site_00_route_00,0.194,-69.73072721167739,0
site_00_route_00,0.196,-69.72736641895968,0
site_00_route_00,0.198,-69.72328341713668,0
site_00_route_00,0.2,-69.71927185641624,0
site_00_route_00,0.202,-69.71589730274518,0
site_00_route_00,0.204,-69.71162505085816,0
site_00_route_00,0.206,-69.70709992212745,0
site_00_route_00,0.208,-69.70369517940455,0
site_00_route_00,0.21,-69.69947445075212,0
site_00_route_00,0.212,-69.69538031225039,0
site_00_route_00,0.214,-69.70150729947694,0
site_00_route_00,0.216,-69.73863276871465,0
site_00_route_00,0.218,-69.73694825728612,0
site_00_route_00,0.22,-69.73646035773547,0
site_00_route_00,0.222,-69.68682861554866,0
site_00_route_00,0.224,-69.6829344916381,0
site_00_route_00,0.226,-69.67920499000992,0
site_00_route_00,0.228,-69.67739593600048,0
site_00_route_00,0.23,-69.67415257126957,0
site_00_route_00,0.232,-69.67061571258087,0
site_00_route_00,0.234,-69.66832172748505,0
site_00_route_00,0.236,-69.66459233216524,0
site_00_route_00,0.238,-69.66121746283633,0
site_00_route_00,0.24,-69.65777763797645,0
site_00_route_00,0.242,-69.65409203640202,0
site_00_route_00,0.244,-69.64969254518374,0
site_00_route_00,0.246,-69.64638677710978,0
site_00_route_00,0.248,-69.64174667242163,0
site_00_route_00,0.25,-69.71193284713236,0
